week,seconds of week [s],pr [m],SV,sat x ECEF [m],sat y ECEF [m],sat z ECEF [m],idk wtf this is,Pr_sigma
2092,594610.445748488,22206884.1905349,8,7850197.00400271,-18826036.3614588,16904523.7149543,-2.39E-05,3.297717038
2092,594610.445748488,21780163.476215,9,-6950651.51441529,-25534813.2805416,2111755.52959608,-0.000156390539577,3.597509496
2092,594610.445748488,24457825.7833504,11,11976850.2092917,-23681279.2800761,2603788.55324072,-0.000360124629776,4.796679328
2092,594610.445748488,24731121.3912681,13,-13073698.9287835,11245981.31746,20053829.871481,-1.26E-05,4.197094412
2092,594610.445748488,23697737.9939552,23,-692834.407886827,-25416780.2201201,-6603759.66665863,-0.000136052904388,2.698132122
2092,594610.445748488,24096786.920793,27,13221465.6483603,-7774802.38487701,21517432.4383033,-0.000212145156305,3.897301954
2092,594610.445748488,21645652.5910201,28,-22644761.9622267,-13253770.7975803,4175486.69469398,0.000738972620954,4.197094412
2092,594610.445748488,21159342.7684615,30,-15134452.9541757,-7216171.5334521,20666401.0008786,-0.000154002003841,3.597509496
2092,594611.445748489,24413239.0112072,4,1383687.27964348,-25340849.227396,-7788482.00353679,-4.93E-05,3.597509496
2092,594611.445748489,23498809.6648746,5,-21682369.8678909,4271799.04030197,14737867.4402633,-7.66E-06,3.297717038
2092,594611.445748489,20829127.8658182,7,-5112540.62611074,-15427133.7612458,21215223.7981307,-0.000215248981314,3.297717038
2092,594611.445748489,22207023.7573764,8,7850813.1366147,-18823970.4947748,16906565.3460293,-2.39E-05,3.297717038
2092,594611.445748489,21780681.991985,9,-6950407.41193058,-25535146.228117,2108612.00029049,-0.000156390548276,3.597509496
2092,594611.445748489,24457390.0514134,11,11977080.7764659,-23680764.0055987,2606809.47293481,-0.000360124617563,4.796679328
2092,594611.445748489,24730445.2302312,13,-13073981.2319413,11243420.4040652,20055082.0116419,-1.26E-05,2.99792458
2092,594611.445748489,23698394.9946531,23,-692291.877950851,-25415981.8720983,-6606766.38504894,-0.000136052905468,2.698132122
2092,594611.445748489,24097248.7931562,27,13222060.5515006,-7772105.30670923,21518069.8806274,-0.000212145169044,3.897301954
2092,594611.445748489,21645234.8677079,28,-22644251.7005966,-13253789.3864667,4178653.68439424,0.000738972618666,3.897301954
2092,594611.445748489,21159070.4403634,30,-15132469.011659,-7217887.54475756,20667235.7060253,-0.000154002012169,3.597509496
2092,594612.445748488,24413913.9856294,4,1384111.35546804,-25339914.5180366,-7791446.70023408,-4.93E-05,3.297717038
2092,594612.445748488,23498870.3567319,5,-21684110.2172468,4271032.18920805,14735569.3746421,-7.66E-06,2.99792458
2092,594612.445748488,20829140.8487802,7,-5110472.75459175,-15428775.9484908,21214470.5776873,-0.000215248987671,3.597509496
2092,594612.445748488,22207154.2850051,8,7851429.44405659,-18821904.4144457,16908606.6146665,-2.39E-05,3.297717038
2092,594612.445748488,21781207.3482402,9,-6950163.24688754,-25535478.8030451,2105468.42612815,-0.000156390556974,3.297717038
2092,594612.445748488,24456953.3771647,11,11977311.2307006,-23680248.3927471,2609830.33781558,-0.00036012460535,5.096471786
2092,594612.445748488,24729761.8099036,13,-13074263.696547,11240859.3493732,20056333.7197711,-1.26E-05,2.698132122
2092,594612.445748488,23699047.7723983,23,-691749.219964236,-25415183.1794925,-6609772.95817651,-0.000136052906548,2.99792458
2092,594612.445748488,24097716.2844894,27,13222655.6327118,-7769408.18884466,21518706.8580959,-0.000212145181783,4.197094412
2092,594612.445748488,21644816.7953913,28,-22643741.0807506,-13253807.8385743,4181820.58525661,0.000738972616379,3.897301954
2092,594612.445748488,21158792.9470009,30,-15130485.0798704,-7219603.7312234,20668069.9740987,-0.000154002020496,4.197094412
2092,594613.445748489,24414596.7777491,4,1384535.54543405,-25338979.4653908,-7794411.23081358,-4.93E-05,3.597509496
2092,594613.445748489,23498925.6739222,5,-21685850.3326243,4270265.52376548,14733270.9955405,-7.66E-06,2.99792458
2092,594613.445748489,20829141.0232824,7,-5108405.04292006,-15430418.1973018,21213716.9141943,-0.000215248994028,3.597509496
2092,594613.445748489,22207289.0704869,8,7852045.92623899,-18819838.1206533,16910647.5207371,-2.39E-05,3.297717038
2092,594613.445748489,21781733.0884003,9,-6949919.01922263,-25535811.0053402,2102324.80710105,-0.000156390565673,3.597509496
2092,594613.445748489,24456501.7655296,11,11977541.5721016,-23679732.4414586,2612851.14796723,-0.000360124593138,4.796679328
2092,594613.445748489,24729096.4680016,13,-13074546.3225099,11238298.1537569,20057584.9957386,-1.26E-05,2.698132122
2092,594613.445748489,23699706.9020227,23,-691206.434001393,-25414384.1423564,-6612779.38587566,-0.000136052907629,2.99792458
2092,594613.445748489,24098182.3449048,27,13223250.8920095,-7766711.03127785,21519343.3707127,-0.000212145194522,3.297717038
2092,594613.445748489,21644397.2572564,28,-22643230.1026911,-13253826.1539346,4184987.39723366,0.000738972614093,3.897301954
2092,594613.445748489,21158530.4957261,30,-15128501.1590402,-7221320.09261509,20668903.8050264,-0.000154002028823,4.197094412
2092,594614.445748488,24415268.1574264,4,1384959.84980376,-25338044.069422,-7797375.59539467,-4.93E-05,3.597509496
2092,594614.445748488,23498987.2731908,5,-21687590.2138982,4269499.04398208,14730972.303103,-7.66E-06,3.297717038
2092,594614.445748488,20829157.9499936,7,-5106337.49141054,-15432060.5074409,21212962.8077412,-0.000215249000386,2.99792458
2092,594614.445748488,22207425.9150944,8,7852662.58325222,-18817771.6134194,16912688.0642084,-2.39E-05,3.297717038
2092,594614.445748488,21782267.7281714,9,-6949674.72887073,-25536142.8350024,2099181.14337283,-0.000156390574372,3.297717038
2092,594614.445748488,24456086.3805465,11,11977771.800448,-23679216.151925,2615871.90280325,-0.000360124580927,3.897301954
2092,594614.445748488,24728421.1445751,13,-13074829.1099814,11235736.8169199,20058835.8396317,-1.26E-05,2.99792458
2092,594614.445748488,23700369.5565912,23,-690663.519924658,-25413584.7607171,-6615785.66810114,-0.00013605290871,2.99792458
2092,594614.445748488,24098659.1197539,27,13223846.3293651,-7764013.83419494,21519979.418438,-0.00021214520726,3.597509496
2092,594614.445748488,21643983.6521955,28,-22642718.7664087,-13253844.3326273,4188154.12017327,0.000738972611807,3.897301954
2092,594614.445748488,21158251.8157488,30,-15126517.2489462,-7223036.6292385,20669737.1988751,-0.000154002037151,3.897301954
